지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm),,,
131,청주,2012,12.7,-15.2,36.4,8.3,17.7,1016.1,1387.6,165.5,63.7,2066.9,46.31,4702.49,1.5,250,1074.5,594.7,,,
131,청주,2013,13.3,-16.9,35.5,8.8,18.4,1016.1,1240.7,156.5,65.1,2354.6,52.88,4492.69,1.3,250,1089.1,599.7,,,
131,청주,2014,13.9,-9.7,36,9.4,19.1,1016.6,913.7,100.5,62.8,2289.1,51.41,5087.12,1.4,250,1081.5,597.1,,,
131,청주,2015,14,-10.8,36.4,9.6,19.2,1016.4,756.9,45.5,59.1,2411.9,54.34,4825.14,1.4,270,1263.5,710.6,,,
131,청주,2016,13.9,-16.3,36.3,9.5,18.9,1016.4,938,153.6,58.9,2468.3,55.31,4878.35,1.5,270,1304.2,791.5,,,
131,청주,2017,13.4,-11.1,36.7,8.9,18.7,1016.6,1301.2,290.2,57.7,2693.5,60.49,5090.57,1.6,250,1439.4,1008.2,,,
131,청주,2018,13.5,-15.8,39.1,9.1,18.7,1016.8,1381.6,151.6,60.2,2640.8,59.47,5425.97,1.7,320,1488.9,1043.2,,,
131,청주,2019,14.2,-8.6,36.7,9.7,19.3,1016.5,856.7,97.7,61.2,2432.2,54.62,5453.19,1.3,290,1436.1,1005.6,,,
131,청주,2020,13.9,-13.7,36,9.7,18.9,1016.8,1358.6,79.3,62.9,2319.9,51.99,5372.2,1.5,290,1400,979.9,,,
131,청주,2021,14.4,-16.3,36.4,9.9,19.3,1016.8,1001.6,66.5,62.5,2372.2,53.28,5345.83,1.5,270,1424,996.7,,,
131,청주,2022,13.9,-13.9,36,9.4,19,1016.5,1236.4,212.6,59.5,2535.7,56.94,5567.93,1.4,290,1464.1,1025.1,,,
131,청주,2023,14.8,-16.7,36.4,10.4,19.8,1016.2,1805.6,256.8,60.8,2170.2,48.74,5384.48,1.3,290,1446.7,1012.7,,,
184,제주,1923,,-1.7,34.6,,,,1251.9,130.9,,1610.7,,,,160,1127.3,,,,
184,제주,1924,14.1,-2.7,33.5,11,18.1,,1227,133.7,75.3,2105.5,,,7.8,340,1526.4,,,,
184,제주,1925,14,-1.6,32.3,10.9,17.8,,1612.8,173.1,75.8,2019,,,5.3,340,1441.3,,,,
184,제주,1926,14.3,-2.9,35.7,11,18.2,1016.8,956.9,58,72.7,2285.2,,,5.4,340,1724.1,,,,
184,제주,1927,14.5,-3.2,33.1,11.3,18.3,1015.9,2042.1,301.2,75.2,2187,,,5.1,360,1572.4,,,,
184,제주,1928,14.2,-2.3,31.4,11,17.9,1016.7,1642.3,106,76.4,2148.8,,,4.7,360,1357.1,,,,
184,제주,1929,14.6,-3.8,33.8,11.2,18.4,1016.9,774.5,60.2,71.6,2407.4,,,5.1,340,1638.4,,,,
184,제주,1930,15,-2.1,35.5,11.9,18.8,1016.7,1233.5,91,75.3,2138.2,,,5,340,1388.4,,,,
184,제주,1931,14.2,-5.7,32.7,11,17.9,1016.6,1518.9,180.3,76.8,2072.8,,,5.1,360,1374.7,,,,
184,제주,1932,14.4,-2.4,35.7,11.2,18.2,1016.8,1131.2,160.7,73.4,2269.6,,,5.1,320,1541.9,,,,
184,제주,1933,14.2,-4.4,34,11.2,17.8,1016.6,1684.6,200.5,77.7,2122.2,,,5,340,1423,,,,
184,제주,1934,14.3,-2.9,35,11,18,1017.1,1590.1,187.6,73.3,2222.2,,,5.5,320,1591.4,,,,
184,제주,1935,14.9,-2.7,35.9,11.7,18.6,1016.2,1372.9,132.5,73.4,2339.9,,,4.8,320,1601.2,,,,
184,제주,1936,13.8,-5,33,10.6,17.5,1016.7,1404.6,114.9,72.9,2030.1,,,5.1,320,1397.8,,,,
184,제주,1937,15,-1.5,34.5,11.9,18.7,1016.5,1309.3,166.8,73.8,2170.5,,,4.9,320,1539.4,,,,
184,제주,1938,14.4,-2.7,33.6,11.2,18.2,1016.4,1126.8,72.3,72.3,2080.1,,,5,320,1521.4,,,,
184,제주,1939,14.7,-3.8,33.3,11.5,18.6,1016.7,1248.7,100.7,72.3,2322.1,,,4.9,340,1568.5,,,,
184,제주,1940,14.5,-2.7,33.4,11.1,18.4,1016.7,1629.6,182.2,73.6,2250.7,,,4.8,320,1519.2,,,,
184,제주,1941,14.5,-2.9,32.8,11.1,18.4,1016.2,1811.5,233,73.5,2134.6,,,4.7,320,1389.3,,,,
184,제주,1942,14.8,-3.1,37.5,11.4,18.8,1016.8,929.7,76.2,71.8,2177.2,,,4.6,320,1552,,,,
184,제주,1943,14.5,-3.7,32.7,11.2,18.3,1017.1,1099.8,95.7,73,2145.5,,,4.7,320,1385.1,,,,
184,제주,1944,14.6,-1.8,34.8,11.4,18.4,1017.1,976.9,59.6,71,2245.1,,,4.7,320,1596.3,,,,
184,제주,1945,14.3,-3.1,34.5,11,18.2,1016.6,1616.6,206.5,72.3,2210.6,,,4.6,340,1475.1,,,,
184,제주,1946,15.1,-2.2,35.7,11.7,19.1,1016.1,1400.1,223.1,73,2105.7,,,4.8,320,1419.1,,,,
